"type","x","y","owner","descr","class"
"bunker",398,1038,"all","12",
"bunker",658,1038,"all","11",
"bunker",918,1038,"all","10",
"bunker",1038,378,"all","7",
"bunker",1038,638,"all","8",
"bunker",1038,898,"all","9",
"bunker",258,378,"rank 11+","3",
"bunker",258,638,"rank 11+","2",
"bunker",258,898,"rank 16+","1",
"bunker",398,258,"rank 6+","4",
"bunker",658,258,"rank 6+","5",
"bunker",918,258,"rank 6+","6",
"colosseum",862,762,"viv",,
"hq",874,762,"viv","Plains",
"hq",1236,941,"viv","Wasteland",
"tower",864,759,"viv",,
"tower",864,766,"viv",,
"tower",865,756,"viv",,
"tower",869,773,"viv",,
"tower",869,778,"viv",,
"trap",868,762,"viv",,
"hq",833,718,"ViV","Plains",
"hq",971,994,"ViV","Wasteland",
"tower",812,737,"ViV",,
"tower",816,730,"ViV",,
"tower",818,719,"ViV",,
"tower",823,715,"ViV",,
"tower",823,723,"ViV",,
"tower",826,729,"ViV",,
"tower",828,736,"ViV",,
"tower",833,694,"ViV",,
"tower",833,729,"ViV",,
"tower",835,736,"ViV",,
"tower",840,694,"ViV",,
"tower",840,729,"ViV",,
"tower",842,687,"ViV",,
"tower",842,736,"ViV",,
"tower",843,701,"ViV",,
"tower",843,708,"ViV",,
"tower",844,680,"ViV",,
"tower",844,719,"ViV",,
"tower",844,729,"ViV",,
"tower",848,673,"ViV",,
"tower",848,687,"ViV",,
"tower",849,736,"ViV",,
"tower",850,701,"ViV",,
"tower",854,666,"ViV",,
"tower",856,737,"ViV",,
"tower",861,659,"ViV",,
"tower",862,638,"ViV",,
"tower",862,645,"ViV",,
"tower",863,737,"ViV",,
"tower",866,652,"ViV",,
"tower",978,984,"ViV",,
"trap",825,719,"ViV",,
"facility",488,648,,"1",
"facility",648,488,,"2",
"facility",648,808,,"4",
"facility",808,648,,"3",
"lab1",48,208,,"Resource Production +5%",
"lab1",48,528,,"Resource Production +5%",
"lab1",48,808,,"Resource Production +5%",
"lab1",48,1088,,"Resource Gathering Speed +5%",
"lab1",68,68,,"Construction Speed +5%",
"lab1",128,288,,"Construction Speed +5%",
"lab1",128,448,,"Resource Gathering Speed +5%",
"lab1",128,608,,"Construction Speed +5%",
"lab1",148,868,,"Construction Speed +5%",
"lab1",148,988,,"Research Speed +5%",
"lab1",168,1128,,"Construction Speed +5%",
"lab1",208,48,,"Research Speed +5%",
"lab1",208,368,,"Research Speed +5%",
"lab1",208,648,,"Research Speed +5%",
"lab1",208,768,,"Resource Gathering Speed +5%",
"lab1",208,1248,,"Research Speed +5%",
"lab1",228,228,,"Resource Gathering Speed +5%",
"lab1",288,128,,"Construction Speed +5%",
"lab1",308,488,,"Resource Production +5%",
"lab1",308,888,,"Resource Production +5%",
"lab1",308,1148,,"Resource Production +5%",
"lab1",368,208,,"Research Speed +5%",
"lab1",408,988,,"Resource Gathering Speed +5%",
"lab1",428,1148,,"Construction Speed +5%",
"lab1",448,128,,"Resource Gathering Speed +5%",
"lab1",488,308,,"Resource Production +5%",
"lab1",488,1248,,"Resource Gathering Speed +5%",
"lab1",528,48,,"Resource Production +5%",
"lab1",528,1088,,"Research Speed +5%",
"lab1",608,128,,"Construction Speed +5%",
"lab1",648,208,,"Research Speed +5%",
"lab1",648,1088,,"Resource Production +5%",
"lab1",688,1168,,"Construction Speed +5%",
"lab1",768,208,,"Resource Gathering Speed +5%",
"lab1",768,1248,,"Research Speed +5%",
"lab1",808,48,,"Resource Production +5%",
"lab1",808,988,,"Research Speed +5%",
"lab1",848,1168,,"Resource Gathering Speed +5%",
"lab1",868,148,,"Construction Speed +5%",
"lab1",888,308,,"Resource Production +5%",
"lab1",928,1088,,"Resource Production +5%",
"lab1",988,148,,"Research Speed +5%",
"lab1",988,408,,"Resource Gathering Speed +5%",
"lab1",988,808,,"Research Speed +5%",
"lab1",1008,1168,,"Construction Speed +5%",
"lab1",1068,1068,,"Research Speed +5%",
"lab1",1088,48,,"Resource Gathering Speed +5%",
"lab1",1088,528,,"Research Speed +5%",
"lab1",1088,648,,"Resource Production +5%",
"lab1",1088,928,,"Resource Production +5%",
"lab1",1088,1248,,"Resource Gathering Speed +5%",
"lab1",1128,168,,"Construction Speed +5%",
"lab1",1148,308,,"Resource Production +5%",
"lab1",1148,428,,"Construction Speed +5%",
"lab1",1168,688,,"Construction Speed +5%",
"lab1",1168,848,,"Resource Gathering Speed +5%",
"lab1",1168,1008,,"Construction Speed +5%",
"lab1",1228,1228,,"Resource Production +5%",
"lab1",1248,208,,"Research Speed +5%",
"lab1",1248,488,,"Resource Gathering Speed +5%",
"lab1",1248,768,,"Research Speed +5%",
"lab1",1248,1088,,"Resource Gathering Speed +5%",
"lab2",48,368,,"Training Speed +5%",
"lab2",48,948,,"Troop Attack +5%",
"lab2",68,688,,"Troop Defense +5%",
"lab2",68,1228,,"Training Speed +5%",
"lab2",148,148,,"Troop Attack +5%",
"lab2",208,528,,"Troop Attack +5%",
"lab2",268,1028,,"Troop Defense +5%",
"lab2",308,308,,"Troop Defense +5%",
"lab2",308,688,,"Training Speed +5%",
"lab2",348,1248,,"Troop Attack +5%",
"lab2",368,48,,"Training Speed +5%",
"lab2",488,208,,"Troop Attack +5%",
"lab2",608,988,,"Training Speed +5%",
"lab2",608,1228,,"Troop Defense +5%",
"lab2",688,68,,"Troop Defense +5%",
"lab2",688,308,,"Training Speed +5%",
"lab2",768,1088,,"Troop Attack +5%",
"lab2",928,1248,,"Training Speed +5%",
"lab2",948,48,,"Troop Attack +5%",
"lab2",988,608,,"Troop Defense +5%",
"lab2",988,988,,"Troop Defense +5%",
"lab2",1028,268,,"Training Speed +5%",
"lab2",1088,768,,"Troop Attack +5%",
"lab2",1148,1148,,"Troop Attack +5%",
"lab2",1228,68,,"Troop Defense +5%",
"lab2",1228,608,,"Training Speed +5%",
"lab2",1248,348,,"Troop Attack +5%",
"lab2",1248,928,,"Training Speed +5%",
"lab3",408,568,,"March Speed +15%",
"lab3",408,708,,"Construction Speed +8%",
"lab3",428,428,,"Construction Speed +8%",
"lab3",428,828,,"Research Speed +8%",
"lab3",488,748,,"Troop Attack +8%",
"lab3",508,508,,"Research Speed +8%",
"lab3",528,868,,"March Speed +15%",
"lab3",568,408,,"March Speed +15%",
"lab3",628,868,,"Construction Speed +8%",
"lab3",708,408,,"Research Speed +8%",
"lab3",748,888,,"Research Speed +8%",
"lab3",828,428,,"Construction Speed +8%",
"lab3",828,828,,"March Speed +15%",
"lab3",868,528,,"March Speed +15%",
"lab3",868,628,,"Research Speed +8%",
"lab3",888,748,,"Construction Speed +8%",
"lab4",468,588,,"Troop Defense +8%",
"lab4",588,468,,"Troop Attack +8%",
"lab4",708,808,,"Troop Defense +8%",
"lab4",748,488,,"Troop Defense +8%",
"lab4",808,708,,"Troop Attack +8%",
